31032000,31089999,58000, ,LEDIG,Fastnettnummer
31090000,31094999,5000,Altibox AS,TILDELT,Fastnettnummer
31095000,31095999,1000,Ice Communication Norge AS,TILDELT,Fastnettnummer
31096000,31098999,3000, ,LEDIG,Fastnettnummer
31099000,31099999,1000,Telia Norge AS,TILDELT,Fastnettnummer
31100000,31109999,10000, ,LEDIG,Fastnettnummer
31110000,31259999,150000, ,LEDIG,Fastnettnummer
31260000,31299999,40000,Telenor Norge AS,TILDELT,Fastnettnummer
31300000,31309999,10000,Telia Norge AS,TILDELT,Fastnettnummer
31310000,31399999,90000, ,LEDIG,Fastnettnummer
31400000,31401999,2000,Telia Norge AS,TILDELT,Fastnettnummer
31402000,31403999,2000,Telia Norge AS,TILDELT,Fastnettnummer
31404000,31409999,6000,Telia Norge AS,TILDELT,Fastnettnummer
31410000,31420999,11000,NextGenTel AS,TILDELT,Fastnettnummer
31421000,31422999,2000,Telavox AS,TILDELT,Fastnettnummer
31423000,31899999,477000, ,LEDIG,Fastnettnummer
31900000,31902999,3000,GlobalConnect AS,TILDELT,Fastnettnummer
31903000,31906999,4000,Telia Norge AS,TILDELT,Fastnettnummer
31907000,31909999,3000,GlobalConnect AS,TILDELT,Fastnettnummer
31910000,31910999,1000,Telia Norge AS,TILDELT,Fastnettnummer
31911000,31919999,9000,GlobalConnect AS,TILDELT,Fastnettnummer
31920000,31999999,80000, ,LEDIG,Fastnettnummer
32000000,32177999,178000,Telenor Norge AS,TILDELT,Fastnettnummer
32178000,32178999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
32179000,32188999,10000,Telenor Norge AS,TILDELT,Fastnettnummer
32189000,32189999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
32190000,32222999,33000,Telenor Norge AS,TILDELT,Fastnettnummer
32223000,32223999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
32224000,32299999,76000,Telenor Norge AS,TILDELT,Fastnettnummer
32300000,32309999,10000,Telia Norge AS,TILDELT,Fastnettnummer
32310000,32319999,10000,NextGenTel AS,TILDELT,Fastnettnummer
32320000,32699999,380000, ,LEDIG,Fastnettnummer
32700000,32899999,200000,Telenor Norge AS,TILDELT,Fastnettnummer
32900000,32983999,84000, ,LEDIG,Fastnettnummer
32984000,32988999,5000,Altibox AS,TILDELT,Fastnettnummer
32989000,32992999,4000,Telia Norge AS,TILDELT,Fastnettnummer
32993000,32993999,1000,Voxbone SA/NV,TILDELT,Fastnettnummer
32994000,32994999,1000,Orange Business Norway AS,TILDELT,Fastnettnummer
32995000,32996999,2000, ,LEDIG,Fastnettnummer
32997000,32999999,3000, ,LEDIG,Fastnettnummer
33000000,33199999,200000,Telenor Norge AS,TILDELT,Fastnettnummer
33200000,33209999,10000,Telia Norge AS,TILDELT,Fastnettnummer
